test/stochastic/0/faucet-close-v1/return/avg	test/stochastic/0/faucet-close-v1/return/std	test/stochastic/0/faucet-close-v1/return/max	test/stochastic/0/faucet-close-v1/return/min	test/stochastic/0/faucet-close-v1/ep_length	test/stochastic/0/faucet-close-v1/success	test/stochastic/average_success	test/deterministic/0/faucet-close-v1/return/avg	test/deterministic/0/faucet-close-v1/return/std	test/deterministic/0/faucet-close-v1/return/max	test/deterministic/0/faucet-close-v1/return/min	test/deterministic/0/faucet-close-v1/ep_length	test/deterministic/0/faucet-close-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
127413.87373450938	37944.449678002034	175753.4831833955	42179.64394057806	200.0	1.0	1.0	136180.46263969233	0.0	136180.46263969233	136180.46263969233	200.0	1.0	1.0	32	111603.13108763585	46898.19270319805	193419.5457247301	7832.168346299202	200.0	640000	640000	76803.766	43413.152	183517.67	-52342.793	76803.86	43413.37	182929.66	-47599.875	3.9976802	3.0321941	61.750896	-16.386553	-76754.984	3069875.5	3056429.5	18.28785988893509	0.0	0.0	0.91	5773.48653960228
116150.2969313188	31363.05431869453	149103.87888420545	47429.10980957186	200.0	1.0	1.0	69414.13289523628	0.0	69414.13289523628	69414.13289523628	200.0	1.0	1.0	33	119677.29328134969	39565.87558488298	185272.82213578522	19096.69628983234	200.0	660000	660000	78625.75	44162.688	183751.64	-50915.047	78625.86	44162.37	183075.05	-49716.77	4.0027666	3.0043037	89.063	-18.128567	-78579.93	3039848.8	3035778.8	18.447974363327027	0.0	0.0	0.97	5952.513624429703
156101.23313783694	15081.304016516846	173942.83098055	123848.26132659886	200.0	1.0	1.0	169820.69107928613	0.0	169820.69107928613	169820.69107928613	200.0	1.0	1.0	34	122131.8638547706	41952.7676593652	192396.3329905092	7052.200542470986	200.0	680000	680000	80236.8	44732.414	187385.17	-43934.805	80236.72	44732.05	186580.17	-43553.918	3.9981081	3.0054102	76.410675	-13.515465	-80187.91	3115702.8	3132763.2	18.67621960015297	0.0	0.0	0.96	6131.222018003464
134053.03807036768	29295.23815053874	177426.0008934299	78243.79896201383	200.0	1.0	1.0	150263.29442775383	0.0	150263.29442775383	150263.29442775383	200.0	1.0	1.0	35	130965.20186335401	41817.16111889582	191117.2275776525	7458.4380486321525	200.0	700000	700000	81983.4	45361.01	187428.55	-51537.258	81983.59	45360.793	187410.97	-46878.2	4.0012393	3.0156183	51.35203	-12.082688	-81935.24	3161443.2	3155865.5	18.96945321264267	0.0	0.0	0.96	6310.277015209198
76927.63345313903	21297.83263912065	117976.01042315165	55477.31206032716	200.0	1.0	1.0	154191.2448311313	0.0	154191.2448311313	154191.2448311313	200.0	1.0	1.0	36	124496.97950761957	49775.78029612884	227903.01623621956	10532.03821908344	200.0	720000	720000	84071.2	45738.895	190609.12	-45875.06	84071.13	45739.33	189278.6	-46757.34	3.9998684	2.9384336	60.396435	-12.489205	-84025.24	3154192.5	3140978.2	18.628353400087356	0.0	0.0	0.96	6489.538334369659
117866.83742346356	76851.5976843662	211471.51373984333	9486.483820545927	200.0	0.7	0.7	128700.01079924784	0.0	128700.01079924784	128700.01079924784	200.0	1.0	1.0	37	128338.14502363178	44751.20427847909	237490.41815737737	9584.549023826456	200.0	740000	740000	85410.65	45963.9	190621.14	-51651.8	85410.5	45964.062	189998.55	-55447.16	3.9991336	2.9708447	52.096817	-15.703427	-85359.78	3123753.8	3132124.2	18.93054239435196	0.0	0.0	0.95	6668.220263719559
91020.19553117522	43257.05790982033	167761.8616630349	22158.905483041857	200.0	0.9	0.9	114913.92569092504	0.0	114913.92569092504	114913.92569092504	200.0	1.0	1.0	38	130523.89940887522	45139.254047164366	229675.11058890168	21090.05410384021	200.0	760000	760000	86131.99	46307.36	191901.81	-55365.35	86131.875	46307.594	190695.08	-56355.984	3.9966614	2.9740257	68.256775	-14.195501	-86070.95	3296642.5	3290705.8	18.906635444259642	0.0	0.0	0.95	6847.556303501129
149235.54865178914	36592.08800372038	203997.54764241911	89304.66905145778	200.0	1.0	1.0	119848.34242900166	0.0	119848.34242900166	119848.34242900166	200.0	1.0	1.0	39	122686.37797463062	37829.47925349771	192974.62479766362	22000.710347699584	200.0	780000	780000	87164.29	46188.297	191442.89	-45162.902	87164.125	46188.375	191367.31	-44135.34	4.0068936	2.9841607	55.357075	-13.92718	-87110.3	3249321.5	3256159.2	18.987746125507353	0.0	0.0	0.96	7026.362103939056
117740.85971544162	75569.81322601197	198994.58410719217	7022.024127267256	200.0	0.6	0.6	187240.50012884793	0.0	187240.50012884793	187240.50012884793	200.0	1.0	1.0	40	122920.70477347512	47228.94596359426	194268.43180633898	5211.252805673569	200.0	800000	800000	87412.53	45960.383	189860.97	-40878.656	87412.375	45960.902	189398.55	-42692.344	3.9944372	2.95968	51.2292	-13.2698	-87362.85	3207503.0	3197063.8	18.72474650902748	0.0	0.0	0.91	7205.2392654418945
168341.07761719316	22732.419031344863	200617.59121632142	122156.90448816381	200.0	1.0	1.0	184482.73702515115	0.0	184482.73702515115	184482.73702515115	200.0	1.0	1.0	41	133994.05808222818	45632.3586709424	211558.57568010484	6765.059724033009	200.0	820000	820000	88271.12	46139.668	190247.36	-33922.664	88271.12	46139.58	189699.64	-35927.99	4.0019836	2.9692137	69.956856	-17.225456	-88206.695	3219943.0	3228219.8	18.694893765354156	0.0	0.0	0.98	7384.052836179733
